Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L1 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L2 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:L3 Bound(%),Memory Bound:Performance-core (P-core):Memory Bound:DRAM Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L1 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L2 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:L3 Bound(%),Memory Bound:Efficient-core (E-core):Memory Bound:DRAM Bound(%),Vectorization(%),Vectorization:% of FP Ops(%),Vectorization:FP Ops: Packed(%),Vectorization:FP Ops: Scalar(%),Vectorization:Vector Instruction Set,Vectorization:Loop Type,Instructions Retired,CPI Rate,Average CPU Frequency
_chkstk,0.352976,0.352976,0.0,0.0,8.7,8.7,4.1,1.9,5.4,0.0,13.1,2.1,0.8,5.8,0.0,0.0,0.5,0.0,100.0,,,2848245000,0.800210,6457079052.127479
See::getLeastValuablePiece,0.346977,0.346977,0.0,0.0,1.0,1.0,10.4,0.0,0.6,0.0,1.3,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,,,3956395000,0.448145,5109970393.867435
Position::attacksTo,0.343977,0.343977,0.0,0.0,12.6,12.6,0.0,8.3,10.0,0.3,14.5,1.6,3.6,1.9,1.3,0.0,0.0,0.0,0.0,,,2974035000,0.611279,5285138838.043605
Position::getEndPosValue,0.339977,0.339977,0.0,0.0,0.0,0.0,2.6,15.9,2.6,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1200995000,1.226933,4334233831.094117
std::_Countr_zero_tzcnt<unsigned __int64>,0.339977,0.339977,0.0,0.0,1.0,1.0,9.8,4.1,0.8,0.0,6.6,0.7,3.3,0.8,0.1,0.0,0.5,0.0,100.0,,,2626615000,0.637400,4924464860.938235
"std::ranges::_Insertion_sort_common<Move *,moveValueGreaterComparator,std::identity>",0.337977,0.337977,0.0,0.0,7.2,7.2,19.5,0.0,1.7,0.0,6.3,0.0,5.5,2.1,0.3,0.0,0.0,0.0,0.0,,,3039925000,0.616749,5547327227.414201
"std::array<unsigned __int64,64>::operator[]",0.334977,0.334977,0.0,0.0,8.0,8.0,19.4,0.0,9.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3228610000,0.530612,5114196065.229851
func@0x1406b27ef,0.328978,0.328978,0.0,0.0,36.7,36.7,24.5,0.0,31.1,1.9,41.1,24.6,1.5,11.2,0.0,0.0,0.0,0.0,0.0,,,122795000,11.560976,4315276177.003039
std::countr_zero,0.326978,0.326978,0.0,0.0,8.8,8.8,13.9,2.0,0.3,0.0,3.8,0.0,1.9,0.2,0.0,0.0,0.0,0.0,0.0,,,2641590000,0.624717,5046961574.284404
Position::getPiece,0.320978,0.320978,0.0,0.0,0.8,0.8,9.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3111805000,0.421559,4086911469.028037
"std::_Atomic_storage<unsigned __int64,8>::store",0.315979,0.315979,0.0,0.0,79.5,79.5,8.3,0.0,0.0,0.0,33.8,0.0,2.7,3.3,0.0,0.0,0.0,0.0,0.0,,,524125000,3.154286,5232125433.645570
Search::goodCapture,0.313979,0.313979,0.0,0.0,9.3,9.3,8.8,0.0,0.0,0.0,2.0,1.6,2.5,0.7,0.0,0.0,0.0,0.0,0.0,,,2779360000,0.580819,5141445885.028663
Position::getLastMove,0.309979,0.309979,0.0,0.0,3.7,3.7,0.0,4.0,8.7,0.6,7.7,2.5,8.8,5.5,0.9,0.0,0.0,0.0,0.0,,,2710475000,0.454144,3971058455.003226
operator<,0.304979,0.304979,0.0,0.0,1.0,1.0,10.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,,,3384350000,0.344248,3820110399.177049
std::popcount,0.291980,0.291980,0.0,0.0,13.4,13.4,15.1,2.6,0.0,0.0,7.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,,,2357065000,0.597205,4821044702.979452
Value::operator int,0.287981,0.287981,0.0,0.0,12.5,12.5,2.6,0.0,21.0,0.0,73.4,0.0,1.9,1.5,0.0,0.0,0.0,0.0,0.0,,,1590345000,1.003766,5543204147.406250
Position::getPieceBb,0.283981,0.283981,0.0,0.0,20.8,20.8,0.0,4.3,24.2,0.0,11.4,0.0,5.2,2.9,0.0,0.0,0.0,0.0,0.0,,,1737100000,0.834483,5104499593.816901
StaticMoveList<256>::push_back,0.272982,0.272982,0.0,0.0,7.4,7.4,20.5,1.6,3.2,0.0,11.5,3.7,19.1,0.9,0.0,0.0,0.0,0.0,0.0,,,2015635000,0.670134,4948117987.879121
typeOf,0.272982,0.272982,0.0,0.0,24.0,24.0,22.4,0.0,11.2,0.0,3.6,0.0,1.1,8.2,0.0,0.0,0.0,0.0,0.0,,,2189345000,0.575923,4618974884.472528
Value::operator int,0.271982,0.271982,0.0,0.0,23.5,23.5,0.0,0.0,25.3,0.0,59.2,0.0,4.5,6.5,0.0,0.0,0.0,0.0,0.0,,,1656235000,0.735986,4481791588.555147
Bitboard::operator|=,0.258983,0.258983,0.0,0.0,10.8,10.8,9.1,6.2,4.4,0.0,45.1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2989010000,0.569138,6568628852.849421
Position::checkRepetitions,0.254983,0.254983,0.0,0.0,80.0,80.0,35.4,19.9,24.3,1.1,42.8,39.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,,,245590000,4.841463,4663118783.047059
Value::operator int,0.249983,0.249983,0.0,0.0,18.4,18.4,0.5,5.4,26.8,0.9,28.5,0.0,1.6,14.1,0.0,0.0,0.0,0.0,0.0,,,1096170000,1.114754,4888170057.311999
Value::{ctor},0.248983,0.248983,0.0,0.0,19.4,19.4,16.9,0.0,0.6,0.0,1.6,0.0,0.9,0.7,0.0,0.0,0.0,0.0,0.0,,,2557730000,0.449649,4619107070.457831
"std::unique_ptr<TT::Entry [0],std::default_delete<TT::Entry [0]> >::operator[]",0.237984,0.237984,0.0,0.0,100.0,100.0,45.5,0.0,45.5,10.1,88.5,1.3,2.2,21.0,0.0,0.0,0.0,0.0,0.0,,,206655000,4.376812,3800634776.394958
Square::{ctor},0.234984,0.234984,0.0,0.0,2.7,2.7,12.3,0.8,2.5,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,,3117795000,0.395773,5251163077.838298
